Legislation Name,Jurisdiction,Legislation Type,Act Name,Heading,Section Number,Paragraphs,Specificity,Management Domain,IUCN_L1,IUCN_L2,Clause Type
"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Federal,Act,"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Waiver of information requirements,106,"(8) On the request of any person to whom subsection (1), (3) or (4) applies, the Minister may waive any of the requirements to provide information under that subsection if (a) in the opinion of the Ministers, the information is not needed in order to determine whether the living organism is toxic or capable of becoming toxic; (b) a living organism is to be used for a prescribed purpose or manufactured at a location where, in the opinion of the Ministers, the person requesting the waiver is able to contain the living organism so as to satisfactorily protect the environment and human health; or (c) it is not, in the opinion of the Ministers, practicable or feasible to obtain the test data necessary to generate the information. Marginal note:Publication of notice of waiver",3,Pollution,9. Pollution,9.1 Water-Borne & Other Effluent Pollution,Authorization & Mandate
"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Federal,Act,"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Assessment of information,108,"108 (1) Subject to subsection (4), the Ministers shall, within the prescribed assessment period, assess information provided under subsection 106(1), (3) or (4) or paragraph 109(1)(c) or otherwise available to them in respect of a living organism in order to determine whether it is toxic or capable of becoming toxic. Marginal note:Assessment of information",3,Pollution,9. Pollution,9.1 Water-Borne & Other Effluent Pollution,Designation
"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Federal,Act,"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Assessment of information,108,"(2) Subject to subsections (3) and (4), the Ministers shall assess information provided under subsection 107(1) or otherwise available to them in respect of a living organism in order to determine whether it is toxic or capable of becoming toxic. Marginal note:Time for assessment",3,Pollution,9. Pollution,9.1 Water-Borne & Other Effluent Pollution,Instruction
"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Federal,Act,"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Action to be taken after assessment,109,"109 (1) Where the Ministers have assessed any information under section 108 and they suspect that a living organism is toxic or capable of becoming toxic, the Minister may, before the expiry of the period for assessing the information, (a) permit any person to manufacture or import the living organism, subject to any conditions that the Ministers may specify; (b) prohibit any person from manufacturing or importing the living organism; or (c) request any person to provide any additional information or submit the results of any testing that the Ministers consider necessary for the purpose of assessing whether the living organism is toxic or capable of becoming toxic. Marginal note:Additional information or testing",3,Pollution,9. Pollution,9.1 Water-Borne & Other Effluent Pollution,"License, Permitting, & Exemptions"
"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Federal,Act,"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Significant new activity,110,"110 (1) Where the Ministers have assessed any information under section 108 in respect of a living organism that is not on the Domestic Substances List and they suspect that a significant new activity in relation to that living organism may result in the living organism becoming toxic, the Minister may, within 90 days after the expiry of the period for assessing the information, publish in the Canada Gazette and in any other manner that the Minister considers appropriate a notice indicating that subsection 106(4) applies with respect to the living organism. Marginal note:Contents of notice",3,,,,Authorization & Mandate
"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Federal,Act,"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Prohibition,117,117 No person shall manufacture for use or sale in Canada or import a cleaning product or water conditioner that contains a prescribed nutrient in a concentration greater than the permissible concentration prescribed for that product or conditioner.,3,Water Use and Watercourse Modifications,7. Natural System Management & Modifications,7.5 Biological System Management,Instruction
"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Federal,Act,"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Regulations,118,"118 (1) The Governor in Council may, on the recommendation of the Minister, make regulations for the purpose of preventing or reducing the growth of aquatic vegetation that is caused by the release of nutrients in waters and that can interfere with the functioning of an ecosystem or degrade or alter, or form part of a process of degrading or altering, an ecosystem to an extent that is detrimental to its use by humans, animals or plants, including regulations (a) prescribing nutrients; (b) prescribing the permissible concentration of a prescribed nutrient in a cleaning product or water conditioner; (c) respecting the conditions, test procedures and laboratory practices to be followed for analysing, testing, measuring or monitoring a nutrient, cleaning product or water conditioner; and (d) requiring persons who manufacture for use or sale in Canada or import a cleaning product or water conditioner (i) to maintain books and records for the proper administration of this Division and the regulations, (ii) to submit samples of the cleaning product or water conditioner to the Minister, and (iii) to submit to either Minister information regarding cleaning products, water conditioners and their ingredients. Marginal note:Exemption",3,Pollution,9. Pollution,9.1 Water-Borne & Other Effluent Pollution,Interpretation & Purpose
"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Federal,Act,"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Exemption,118,"(1.1) The Governor in Council may, on the recommendation of the Minister, make regulations exempting a cleaning product or water conditioner from the application of section 117. Marginal note:Class of cleaning product or water conditioner",3,Water Use and Watercourse Modifications,7. Natural System Management & Modifications,7.5 Biological System Management,"Administration, Application, & Structure"
"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Federal,Act,"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Class of cleaning product or water conditioner,118,"(1.2) Regulations made under subsection (1) or (1.1) may distinguish among classes of cleaning products or water conditioners that they may establish on the basis of any factor, including (a) the physical or chemical properties of the cleaning products or water conditioners; or (b) the conditions under which, the purposes for which or the manner or place in which the cleaning products or water conditioners are intended to be used. Marginal note:Nutrients regulated under other Acts of Parliament",3,Water Use and Watercourse Modifications,7. Natural System Management & Modifications,7.5 Biological System Management,Authorization & Mandate
"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Federal,Act,"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Nutrients regulated under other Acts of Parliament,118,"(2) The Governor in Council shall not make a regulation under subsection (1) in respect of a nutrient to the extent that the nutrient, or a product in which the nutrient is contained, is, in the opinion of the Governor in Council, regulated by or under any other Act of Parliament in a manner that provides, in the opinion of the Governor in Council, sufficient protection to the environment.",3,Pollution,9. Pollution,9.1 Water-Borne & Other Effluent Pollution,Instruction
"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Federal,Act,"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Remedial measures,119,"119 (1) Where there is a contravention of section 117 or the regulations, the Minister may, in writing, direct a manufacturer or importer of a nutrient, cleaning product or water conditioner to take any or all of the following measures in the manner and within the period directed by the Minister: (a) give public notice of the contravention and of any danger to the environment or to human life or health posed by the nutrient, cleaning product or water conditioner; (b) mail a notice as described in paragraph (a) to manufacturers, processors, distributors or retailers of the nutrient, cleaning product or water conditioner; (c) mail a notice as described in paragraph (a) to persons to whom the nutrient, cleaning product or water conditioner is known to have been delivered or sold; (d) replace the nutrient, cleaning product or water conditioner with one that meets the applicable requirements; (e) accept the return of the nutrient, cleaning product or water conditioner from the purchaser and refund the purchase price; (f) take other measures for the protection of the environment or human life or health; and (g) report to the Minister on the steps taken in satisfaction of any direction under paragraphs (a) to (f). Marginal note:Intervention of Minister",3,Water Use and Watercourse Modifications,7. Natural System Management & Modifications,7.5 Biological System Management,
"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Federal,Act,"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Exceptions,139,"(2) A person does not contravene subsection (1) if (a) the fuel is in transit through Canada, from a place outside Canada to another place outside Canada, and there is written evidence establishing that the fuel is in transit; (b) subject to the regulations, the fuel is produced or sold for export and there is written evidence establishing that the fuel will be exported; (c) subject to the regulations, the fuel is being produced or imported and there is written evidence establishing that the fuel will meet the requirements of subsection (1) before the fuel is used or sold; (d) subject to the regulations, the fuel is being imported in a fuel tank that supplies the engine of a conveyance that is used for transportation by water, land or air; or (e) that person is exempted from the application of that subsection by a regulation made under subsection 140(3).",3,,,,"Administration, Application, & Structure"
"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Federal,Act,"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Exceptions,144,"(2) Except as otherwise provided by the regulations, subsection (1) does not apply if (a) the requirements are met before the fuel is used or sold; or (b) the fuel is being used in a fuel tank that supplies the engine of a conveyance that is used for transportation by water, land or air.",3,,,,"Administration, Application, & Structure"
"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Federal,Act,"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",DIVISION 7International Water Pollution,174,"175 In this Division, water pollution means a condition of water, arising wholly or partly from the presence in water of any substance, that directly or indirectly (a) endangers the health, safety or welfare of humans; (b) interferes with the normal enjoyment of life or property; (c) endangers the health of animal life; (d) causes damage to plant life or to property; or (e) degrades or alters, or forms part of a process of degrading or alterating, an ecosystem to an extent that is detrimental to its use by humans, animals or plants.",3,Water Use and Watercourse Modifications,7. Natural System Management & Modifications,7.5 Biological System Management,
"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Federal,Act,"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Determination of international water pollution,176,"176 (1) Subject to subsection (4), the Minister shall act under subsections (2) and (3) only if the Ministers have reason to believe that a substance released from a source in Canada into water creates, or may reasonably be anticipated to create, (a) water pollution in a country other than Canada; or (b) water pollution that violates, or is likely to violate, an international agreement binding on Canada in relation to the prevention, control or correction of pollution. Marginal note:Consultation with other governments",3,Water Use and Watercourse Modifications,7. Natural System Management & Modifications,7.5 Biological System Management,Instruction
"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Federal,Act,"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Consultation with other governments,176,"(2) If the source referred to in subsection (1) is a not a federal source, the Minister shall (a) consult with the government responsible for the area in which the source is situated to determine whether that government can prevent, control or correct the water pollution under its laws; and (b) if the government referred to in paragraph (a) can prevent, control or correct the water pollution, offer it an opportunity to do so. Marginal note:Ministerial action",3,Spatial Designation,,,Instruction
"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Federal,Act,"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Ministerial action,176,"(3) If the source referred to in subsection (1) is a federal source, or if the government referred to in paragraph (2)(a) cannot prevent, control or correct the water pollution under its laws or does not do so, the Minister shall take at least one of the following courses of action: (a) on approval by the Governor in Council, publish a notice under subsection 56(1); or (b) recommend regulations to the Governor in Council for the purpose of preventing, controlling or correcting the water pollution. Marginal note:Reciprocity with other country",3,Water Use and Watercourse Modifications,7. Natural System Management & Modifications,7.5 Biological System Management,Instruction
"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Federal,Act,"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Reciprocity with other country,176,"(4) If the water pollution referred to in paragraph (1)(a) is in a country where Canada does not have substantially the same rights with respect to the prevention, control or correction of water pollution as that country has under this Division, the Minister shall decide whether to act under subsections (2) and (3). Marginal note:Other factors",3,Water Use and Watercourse Modifications,7. Natural System Management & Modifications,7.5 Biological System Management,Instruction
"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Federal,Act,"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Regulations,177,"177 The Governor in Council may, on the recommendation of the Minister, make regulations with respect to a substance released from a source in Canada into water that creates, or may reasonably be anticipated to create, water pollution referred to in subsection 176(1) for the purpose of preventing, controlling or correcting the water pollution, including regulations respecting (a) the quantity or concentration of the substance that may be released into water; (b) the manner in which and conditions under which the substance may be released into water, either alone or in combination with any other substance; (c) the maintenance of books and records for the administration of any regulation made under this section; (d) the conduct of sampling, analyses, tests, measurements or monitoring of the substance and the submission of the results to the Minister; and (e) the conditions, test procedures and laboratory practices to be followed for conducting sampling, analyses, tests, measurements or monitoring of the substance.",3,Water Use and Watercourse Modifications,7. Natural System Management & Modifications,7.5 Biological System Management,Authorization & Mandate
"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Federal,Act,"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Application,179,(2) Subsection (1) applies to any person who (a) owns or has charge of a substance immediately before its release or its likely release into water; or (b) causes or contributes to the release or increases the likelihood of the release. Marginal note:Report by property owner,3,,,,"Administration, Application, & Structure"
"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Federal,Act,"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Plans and specifications,182,"182 (1) If a person carries on or proposes to carry on a work, undertaking or activity that results or may result in the release of a substance that creates, or may reasonably be anticipated to create, water pollution, the person shall, at the request of the Minister for the purposes of this Division and within the time that the Minister may specify, provide the Minister with plans, specifications, studies, procedures, schedules, analyses, samples or other information relating to the work, undertaking or activity and with analyses, samples, evaluations, studies, mitigation methodologies or other information relating to the substance. Marginal note:Obtaining information from government",3,Water Use and Watercourse Modifications,7. Natural System Management & Modifications,7.5 Biological System Management,Authorization & Mandate
"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Federal,Act,"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Requirements for environmental emergency plans,199,"199 (1) The Minister may at any time publish in the Canada Gazette, and in any other manner that the Minister considers appropriate, a notice requiring any person or class of persons described in the notice to prepare and implement an environmental emergency plan respecting the prevention of, preparedness for, response to or recovery from an environmental emergency in respect of (a) a substance or group of substances specified in Part 1 or 2 of the list of toxic substances in Schedule 1; or (b) a substance or group of substances in relation to which there has been published in the Canada Gazette (i) a statement of the Ministers under paragraph 77(6)(b) indicating that the measure that they propose to take, as confirmed or amended, is a recommendation that the substance be added to Part 1 or 2 of the list of toxic substances in Schedule 1, or (ii) a copy of an order proposed to be made under subsection 90(1). Marginal note:Contents of notice",3,Pollution,9. Pollution,9.1 Water-Borne & Other Effluent Pollution,Authorization & Mandate
"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Federal,Act,"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Definitions,216,"216 The definitions in this section apply in this Part. 216.1 (1) For the purpose of subsections 217(6), 218(16) and (17) and 220(5.1) and section 275.1, a ship that is not a Canadian ship does not include a ship that (a) that is not registered, listed or licensed under the Canada Shipping Act, 2001 or under the laws of another state but is owned by one or more persons each of whom is (i) a Canadian citizen, (ii) in the case of a vessel that is not required to be registered, listed or licensed under that Act, a person who is resident and domiciled in Canada, or (iii) a corporation incorporated under the laws of Canada or a province, that has its principal place of business in Canada; or (b) that is not registered, listed or licensed under the Canada Shipping Act, 2001 but is owned or operated by Her Majesty in right of Canada. Definition of committed in the course of enforcement of this Act (2) For the purpose of subsections 217(4) and 271.1(2), sections 275.1 and 278.1 and subsections 279(1) and (3), committed in the course of enforcement of this Act means committed by or against a person who is engaged in carrying out duties or functions, or exercising a power, under this Act or a person acting under their direction and control.",4,Species Status and Assessment,,,Interpretation & Purpose
"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Federal,Act,"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Inspection,218,"218 (1) Subject to subsection (2), for the purposes of this Act and the regulations, an enforcement officer may, at any reasonable time, enter and inspect any place if the enforcement officer has reasonable grounds to believe that (a) there can be found in the place a substance with respect to which this Act applies, a product that contains such a substance or a product that may release such a substance into the environment; (b) fuels to which this Act applies are being or have been produced or blended, or can be found, in the place; (c) a cleaning product or water conditioner, as defined in section 116, is being or has been produced or can be found in the place; (d) regulations made under section 209 apply to or in respect of the place; (e) the place is a source in respect of which regulations have been made under section 167 or 177 or a place in respect of which regulations have been made under section 200; (f) a substance is being loaded for the purpose of disposal at sea or is being disposed of at sea; (g) any vehicle, engine or equipment of a class for which standards for emissions have been prescribed that is owned by or is on the premises of a company or a consignee of imported vehicles or engines or imported equipment can be found in the place; (h) any component to be used in the manufacture of a vehicle, engine or equipment for which standards for emissions have been prescribed can be found in the place; (i) any record in relation to the design, manufacture, testing and field performance of a vehicle, engine or equipment in so far as it relates to emissions can be found in the place; or (j) any books, records, electronic data or other documents relevant to the administration of this Act can be found in the place. Marginal note:Private dwelling-place",3,Water Use and Watercourse Modifications,7. Natural System Management & Modifications,7.5 Biological System Management,Authorization & Mandate
"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Federal,Act,"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Powers of enforcement officer,218,"(10) In carrying out an inspection of a place under this section, an enforcement officer may, for the purposes of this Act, (a) examine any substance, product, fuel, cleaning product or water conditioner referred to in subsection (1) or any other thing relevant to the administration of this Act that is found in the place; (b) open and examine any receptacle or package found that the enforcement officer believes on reasonable grounds contains any substance, product, air contaminant, fuel, cleaning product or water conditioner, engine, equipment or component; (c) examine any books, records, electronic data or other documents that the enforcement officer believes on reasonable grounds contain any information relevant to the administration of this Act and make copies of them or take extracts from them; (d) take samples of anything relevant to the administration of this Act; and (e) conduct any tests or take any measurements. Marginal note:Disposition of samples",3,Water Use and Watercourse Modifications,7. Natural System Management & Modifications,7.5 Biological System Management,"Administration, Application, & Structure"
"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Federal,Act,"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Disclosure - Ministers' recommendation,317.1,(3) The Minister shall disclose the explicit chemical or biological name of a substance or the explicit biological name of a living organism in respect of which a request for confidentiality has been made if the Ministers recommend or have recommended to the Governor in Council the addition of the substance or the living organism to Part 1 or 2 of the list of toxic substances in Schedule 1 under subsection 90(1).,3,Pollution,9. Pollution,9.1 Water-Borne & Other Effluent Pollution,Instruction
"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Federal,Act,"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",SCHEDULE 5(Subsections 122(1) and 135(2) and section 216)Waste or Other Matter,356,"1 Dredged material. 2 Fish waste and other organic matter resulting from industrial fish processing operations. 3 Ships, aircraft, platforms or other structures from which all material that can create floating debris or other marine pollution has been removed to the maximum extent possible if, in the case of disposal, those substances would not pose a serious obstacle to fishing or navigation after being disposed of. 4 Inert, inorganic geological matter. 5 Uncontaminated organic matter of natural origin. 6 Bulky substances that are primarily composed of iron, steel, concrete or other similar matter that does not have a significant adverse effect, other than a physical effect, on the sea or the seabed, if those substances (a) are in locations at which the disposal or incineration at sea is the only practicable manner of disposing of or thermally destroying the substances; and (b) in the case of disposal, would not pose a serious obstacle to fishing or navigation after being disposed of.",2,Pollution,9. Pollution,9.1 Water-Borne & Other Effluent Pollution,
"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Federal,Act,"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)","SCHEDULE 6(Subsections 127(2) and (3), 128(3) and 129(3) and section 135)Assessment of Waste or Other Matter",356,"1 This schedule shall be applied with a view that acceptance of disposal at sea under certain circumstances does not remove the obligation to make further attempts to reduce the necessity for disposal. 2 The initial stages in assessing alternatives to disposal at sea shall, as appropriate, include an evaluation of (a) the types, amounts and relative hazard of waste or other matter generated; (b) the details of the production process and sources of waste or other matter within that process; and (c) the feasibility of the following waste reduction or prevention techniques: (i) product reformulation, (ii) clean production technologies, (iii) process modification, (iv) input substitution, and (v) on-site, closed-loop recycling. 3 In general terms, if the required audit reveals that opportunities exist for waste prevention at source, an applicant shall formulate and implement a waste prevention strategy, where it has jurisdiction to do so, (in collaboration with relevant local and national agencies) which includes specific waste reduction targets and provision for further waste prevention audits to ensure that these targets are being met. Permit issuance or renewal shall be subject to compliance with this requirement. 4 For dredged material, the goal of waste management shall be to identify and control the sources of contamination. This should be achieved through implementation of waste prevention strategies and requires collaboration between the relevant local and national agencies involved with the control of point and non-point sources of pollution. Until this objective is met, the problems of contaminated dredged material may be addressed by using disposal management techniques at sea or on land. 5 Applications to dispose of waste or other matter shall demonstrate that appropriate consideration has been given to the following hierarchy of waste management options, which implies an order of increasing environmental impact: (a) re-use; (b) off-site recycling; (c) destruction of hazardous constituents; (d) treatment to reduce or remove the hazardous constituents; and (e) disposal on land, into the air and in water. 6 A permit to dispose of waste or other matter shall be refused if opportunities exist to re-use, recycle or treat the waste or other matter without undue risks to human health or the environment or disproportionate costs. The practical availability of other means of disposal shall be considered in the light of a comparative risk assessment involving both disposal and the alternatives. 7 A detailed description and characterization of the waste or other matter is an essential precondition for the consideration of alternatives and the basis for a decision as to whether the waste or other matter may be disposed of at sea. If the waste or other matter is so poorly characterized that proper assessment cannot be made of its potential impacts on human health and the environment, the waste or other matter shall not be disposed of at sea. 8 Characterization of the waste or other matter and their constituents shall take into account (a) origin, total amount, form and average composition; (b) properties: physical, chemical, biochemical and biological; (c) toxicity; (d) persistence: physical, chemical and biological; and (e) accumulation and biotransformation in biological materials or sediments. 9 A national Action List shall be developed to provide a mechanism for screening candidate waste or other matter and their constituents on the basis of their potential effects on human health and the marine environment. In selecting substances for consideration in the Action List, priority shall be given to toxic, persistent and bio-accumulative substances from human sources (e.g. cadmium, mercury, organohalogens, petroleum hydrocarbons and, whenever relevant, arsenic, lead, copper, zinc, beryllium, chromium, nickel and vanadium, organosilicon compounds, cyanides, fluorides and pesticides or their by-products other than organohalogens). An Action List can also be used as a trigger mechanism for further waste prevention consideration. 10 The Action List shall specify an upper level and may also specify a lower level. The upper level shall be set so as to avoid, as much as reasonably possible, acute or chronic effects on human health or on sensitive marine organisms representative of the marine ecosystem. Application of the Action List will result in three possible categories of waste or other matter: (a) waste or other matter that contain specified substances, or which cause biological responses, exceeding the relevant upper levels shall not be disposed of at sea, unless made acceptable for disposal through the use of management techniques or processes; (b) waste or other matter that contain specified substances, or which cause biological responses, below the relevant lower levels should be considered to be of little environmental concern in relation to disposal at sea; and (c) waste or other matter that contain specified substances, or which cause biological responses, below the upper levels but above the lower levels require more detailed assessment before their suitability for disposal can be determined. 11 Information required to select a disposal site shall include (a) physical, chemical and biological characteristics of the water-column and the sea-bed; (b) location of amenities, values and other uses of the sea in the area under consideration; (c) assessment of the constituent fluxes associated with disposal in relation to existing fluxes of substances in the marine environment; and (d) economic and operational feasibility. 12 Assessment of potential effects shall lead to a concise statement of the expected consequences of the sea or land disposal options (i.e., the Impact Hypothesis). It provides a basis for deciding whether to approve or reject the proposed disposal option and for defining environmental monitoring requirements. 13 The assessment for disposal shall, as appropriate, integrate information on waste characteristics, conditions at the proposed disposal site(s), fluxes and proposed disposal techniques and specify the potential effects on human health, living resources, amenities and other legitimate uses of the sea. It shall, where it is reasonably possible to do so, define the nature, temporal and spatial scales and duration of expected impacts based on reasonably conservative assumptions. 14 An analysis of each disposal option shall be considered in light of a comparative assessment of the following concerns: human health risks, environmental costs, hazards (including accidents), economics and exclusion of future uses. If this assessment reveals that adequate information is not available to determine the likely effects of the proposed disposal option, then this option shall not be considered further. In addition, if the interpretation of the comparative assessment shows the disposal option to be less preferable, a permit for disposal at sea shall not be given. 15 Each assessment shall conclude with a statement supporting a decision to issue or refuse a permit for disposal at sea. 16 Monitoring is used to verify that permit conditions are met (compliance monitoring) and that the assumptions made during the permit review and site selection process were correct and sufficient to protect human health and the environment (field monitoring). It is essential that such monitoring programs have clearly defined objectives. 17 A decision to issue a permit shall only be made if all impact evaluations are completed, and where reasonably possible, the monitoring requirements are determined. The provisions of the permit shall ensure, as far as practicable, that environmental disturbance and detriment are minimized and the benefits maximized. Any permit issued shall contain data and information specifying (a) the types and sources of materials to be disposed of; (b) the location of the disposal site; (c) the method of disposal; and (d) monitoring and reporting requirements. 18 Disposal sites shall be reviewed at regular intervals, taking into account the results of monitoring and the objectives of monitoring programs. Review of monitoring results will indicate whether field programs need to be continued, revised or terminated, and will contribute to informed decisions regarding the continuance, modification or closure of disposal sites. This provides an important feedback mechanism for the protection of human health and the marine environment.",3,Pollution,9. Pollution,9.1 Water-Borne & Other Effluent Pollution,Instruction
"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",Federal,Act,"Canadian Environmental Protection Act, 1999 (S.C. 1999, c. 33)",RELATED PROVISIONS,356,"- 2023, c. 12, s. 59 59 Unless the context otherwise requires, words and expressions used in sections 60 to 62 have the same meaning as in the Canadian Environmental Protection Act, 1999. - 2023, c. 12, s. 60 60 (1) If, before the day on which subsection 21(1) of this Act comes into force, a statement is published under subsection 77(1) of the Canadian Environmental Protection Act, 1999 indicating that the measure that the Ministers propose to take in respect of a substance is a recommendation to add the substance to the List of Toxic Substances in Schedule 1 of that Act and to implement virtual elimination under subsection 65(3) of that Act and no statement confirming or amending that measure has been published under paragraph 77(6)(b) of that Act before that day, the measure is deemed to be a recommendation, made under paragraph 77(2)(c) of that Act, as that paragraph reads after that day, to add the substance on the list of toxic substances in Part 1 of Schedule 1, as that Schedule reads after that day. (2) If, before the day on which subsection 21(1) of this Act comes into force, a statement is published under subsection 77(1) of the Canadian Environmental Protection Act, 1999 indicating that the measure that the Ministers propose to take in respect of the substance is a recommendation to add the substance to the List of Toxic Substances in Schedule 1 of that Act without implementing virtual elimination under subsection 65(3) of that Act and no statement confirming or amending that measure is published under paragraph 77(6)(b) of that Act before that day, the measure is deemed to be a recommendation, made under paragraph 77(2)(d) of that Act, as enacted by that subsection 21(1), to add the substance on the list of toxic substances in Part 2 of Schedule 1, as that Schedule reads after that day. - 2023, c. 12, s. 61 61 (1) If, before the day on which subsection 21(2) of this Act comes into force, a statement is published under paragraph 77(6)(b) of the Canadian Environmental Protection Act, 1999 indicating that the measure that the Ministers propose to take, as confirmed or amended, in respect of a substance is a recommendation to add the substance to the List of Toxic Substances in Schedule 1 of that Act and to implement virtual elimination under subsection 65(3) of that Act, the statement is deemed to be a statement, published under paragraph 77(6)(b) of that Act, as it reads after that day, indicating that the measure, as confirmed or amended, is a recommendation to add the substance on the list of toxic substances in Part 1 of Schedule 1, as that Schedule reads after that day. (2) If, before the day on which subsection 21(2) of this Act comes into force, a statement is published under paragraph 77(6)(b) of the Canadian Environmental Protection Act, 1999 indicating that the measure that the Ministers propose to take, as confirmed or amended, in respect of the substance is a recommendation to add the substance to the List of Toxic Substances in Schedule 1 of that Act without the implementation of virtual elimination under subsection 65(3) of that Act, the statement is deemed to be a statement, published under paragraph 77(6)(b) of that Act, as it reads after that day, indicating that the measure, as confirmed or amended, is a recommendation to add the substance on the list of toxic substances in Part 2 of Schedule 1, as that Schedule reads after that day. - 2023, c. 12, s. 62 62 (1) If a substance is added to the List of Toxic Substances in Schedule 1 of the Canadian Environmental Protection Act, 1999 before the day on which section 58 of this Act comes into force but the substance is not specified on the list of toxic substances in Part 1 or 2 of Schedule 1 of the Canadian Environmental Protection Act, 1999 on that day, the Governor in Council must as soon as feasible after that day make an order adding the substance (a) to the list of toxic substances in Part 1 of Schedule 1 of that Act, if the Governor in Council is satisfied that the substance is toxic within the meaning of section 64 of that Act and if the Ministers recommended the implementation of virtual elimination under subsection 65(3) of that Act in relation to the substance; or (b) to the list of toxic substances in Part 2 of Schedule 1 of that Act, if the Governor in Council is satisfied that the substance is toxic within the meaning of section 64 of that Act and if the Ministers did not recommend the implementation of virtual elimination under subsection 65(3) of that Act in relation to the substance. (2) If a substance is deleted from the List of Toxic Substances in Schedule 1 of the Canadian Environmental Protection Act, 1999 before the day on which section 58 of this Act comes into force but the substance is specified on the list of toxic substances in Part 1 or 2 of Schedule 1 of that Act as it reads after that day, the Governor in Council must as soon as feasible after that day make an order deleting the substance from the list of toxic substances on which it is specified. - 2023, c. 12, s. 63 63 The Minister of the Environment and the Minister of Health may, by regulation, (a) repeal the Virtual Elimination List; and (b) repeal the Regulations Adding Perfluorooctane Sulfonate and Its Salts to the Virtual Elimination List.",3,Pollution,9. Pollution,9.1 Water-Borne & Other Effluent Pollution,Instruction
